,date,text,followers,polarity,sentiment_confidence,clusters
83,2019-11-24 22:33:35,"b'RT @HardCaseCrime: 1st review of ARE SNAKES NECESSARY? coming in Booklist on Jan 1, and it\'s a rave: ""A deliciously deceptive novel by note\xe2\x80\xa6'",331,0.5,1.0,4
84,2019-11-24 22:33:34,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',212,0.7,0.4,0
85,2019-11-24 22:33:30,b'RT @ESG: Elgato Stream Deck Only: 99.99 \n\nhttps://t.co/CAhGuIB68F https://t.co/N2SOqiKLXL',679,0.0,1.0,4
86,2019-11-24 22:33:28,"b'RT @2blondesmedia: Eyes in the sky, she sees. Head in the clouds, she searches. Feet on the ground, she answers the call\xc2\x97Jena Halpern, the\xe2\x80\xa6'",68519,0.0,0.0,1
87,2019-11-24 22:33:25,b'RT @Wario64: Persona Q2: New Cinema Labyrinth Launch Edition (3DS) is $19.99 on Amazon https://t.co/jD67ltGIPh https://t.co/BmK0qCJ6hq',151,0.13636363636363635,0.4545454545454545,3
88,2019-11-24 22:33:24,"b""RT @SaraCarterDC: '#OnFaith' is an inspiring collection of the late Supreme Court justice Antonin Scalia's reflections on his own faith, on\xe2\x80\xa6""",363,0.26666666666666666,0.8666666666666667,4
89,2019-11-24 22:33:23,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',17,0.7,0.4,0
90,2019-11-24 22:33:17,b'\xe2\x98\x85FORBIDDEN FOOTSTEPS\xe2\x98\x85\n\xe2\x9c\x94https://t.co/UhPMoH8Jrs \n\nCynB_Ainsworthe https://t.co/Cx3EIyIMxg bookboost  #ASMSG \xe2\x9c\x8evia Piz\xe2\x80\xa6 https://t.co/gMW7kWZKxm',26773,0.0,0.0,1
91,2019-11-24 22:33:15,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',34,0.7,0.4,0
92,2019-11-24 22:33:14,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',192,0.7,0.4,0
93,2019-11-24 22:33:13,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',48,0.7,0.4,0
94,2019-11-24 22:33:13,b'RT @mezzopwr: @HandInHandGP can I get a RT? My students love to create with our classroom instruments. We are hoping to add a few more to o\xe2\x80\xa6',256,0.26666666666666666,0.4,3
95,2019-11-24 22:33:12,b'RT @LisetteBrodey: NOT WITHOUT NANCY:\n\nTrigg puts himself out there only to have Nancy do everything short of hosing him down to cool thing\xe2\x80\xa6',68519,0.0486111111111111,0.5597222222222222,3
96,2019-11-24 22:33:12,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',102,0.7,0.4,0
97,2019-11-24 22:33:11,b'The Book of Lies https://t.co/fri1TVMQq4',5352,0.0,0.0,1
98,2019-11-24 22:33:09,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',120,0.7,0.4,0
99,2019-11-24 22:33:08,"b""Have you seen the new cover for The Men of Crestview? \xf0\x9f\x98\x8d\nIf you haven't read this series, grab it TODAY \xf0\x9f\x98\x8d\xf0\x9f\x93\x9a\n\nA Specia\xe2\x80\xa6 https://t.co/XUFRzMDSNl""",7809,0.13636363636363635,0.4545454545454545,3
